station,longitude,latitude,county
MARSHFIELD POLICE DEPT,-70.6938179,42.092605,Plymouth County
MAYNARD POLICE DEPT,-71.4613683,42.430468,Middlesex County
MBTA TRANSIT POLICE,-71.0642273,42.3318795,Suffolk County
MEDFORD POLICE DEPT,-71.1101122,42.4157509,Middlesex County
MEDWAY POLICE DEPT,-71.4256386,42.1403025,Norfolk County
MELROSE POLICE DEPT,-71.0665204,42.4547222,Middlesex County
METHUEN POLICE DEPT,-71.1913594,42.7307489,Essex County
MIDDLEBORO POLICE DEPT,-70.9075454,41.8933713,Plymouth County
MILFORD POLICE DEPT,-71.521122,42.1387949,Worcester County
MILLIS POLICE DEPT,-71.3632317,42.1652781,Norfolk County
MILTON POLICE DEPT,-71.0792115,42.2523843,Norfolk County
MONSON POLICE DEPT,-72.3153417,42.0998269,Hampden County
NEW BEDFORD POLICE DEPT,-70.9509339,41.6380939,Bristol County
NEW BRANTREE POLICE DEPT,-70.9935587,42.2117997,Norfolk County
NEWBURY POLICE DEPT,-70.8611374,42.7978524,Essex County
NORFOLK POLICE DEPT,-71.3228344,42.119595,Norfolk County
NORTHBRIDGE POLICE DEPT,-71.6459926,42.1287882,Worcester County
NORTON POLICE DEPT,-71.1787784,41.9717374,Bristol County
NORWELL MASSACHUSETTS POLICE,-70.8658858,42.1631539,Plymouth County
NORWOOD POLICE DEPT,-71.1952786,42.192553,Norfolk County
OAKHAM POLICE DEPT,-72.0508411,42.3581577,Worcester County
ORLEANS POLICE DEPT,-69.987678,41.781332,Barnstable County
OXFORD POLICE DEPT,-71.8674609,42.1385713,Worcester County
PALMER POLICE DEPT,-72.3464158,42.1855238,Hampden County
PAXTON POLICE DEPT,-71.9207171,42.3053362,Worcester County
PLYMOUTH COUNTY SHERIFF DEPT,-70.6535634,41.9316959,Plymouth County
QUINCY POLICE DEPT,-70.9959827,42.2557641,Norfolk County
REHOBOTH POLICE,-71.2386043,41.8620605,Bristol County
REVERE POLICE DEPT,-70.9997596,42.4017565,Suffolk County
ROCKLAND POLICE DEPT,-70.9019143,42.1245546,Plymouth County
ROCKPORT POLICE DEPT,-70.6294908,42.6453758,Essex County
SALEM POLICE DEPT,-70.8966535,42.5157345,Essex County
SALEM STATE COLLEGE POLICE HI_ED,-70.890682,42.503103,Essex County
SALISBURY POLICE DEPT,-70.829823,42.8412615,Essex County
SCITUATE POLICE DEPT,-70.7810972,42.2085526,Plymouth County
SHIRLEY POLICE DEPARTMENT,-71.6409084,42.544937,Middlesex County
SOMERSET POLICE DEPT,-71.1488962,41.7402579,Bristol County
SOMERVILLE POLICE DEPT,-71.0923961,42.3790106,Middlesex County
SOUTHBRIDGE POLICE DEPT,-72.0270678,42.075371,Worcester County
SPRINGFIELD POLICE DEPT,-72.5858222,42.1083714,Hampden County
STURBRIDGE POLICE DEPT,-72.084332,42.1115645,Worcester County
SWAMPSCOTT POLICE DEPT,-70.9202671,42.469553,Essex County
SWANSEA POLICE DEPT,-71.2474422,41.7571504,Bristol County
TAUNTON POLICE DEPT,-71.089341,41.900927,Bristol County
TEMPLETON POLICE DEPT,-72.0665108,42.5534582,Worcester County
TOLLAND POLICE DEPT,-73.0033483,42.081135,Hampden County
TOPSFIELD POLICE DEPT,-70.945687,42.630332,Essex County
TYNGSBOROUGH POLICE DEPT,-71.4204524,42.6696582,Middlesex County
UNIV OF MA AMHERST POLICE HI_ED,-72.5149829,42.3979542,Hampshire County
WALPOLE POLICE DEPT,-71.2526785,42.1457053,Norfolk County
WAREHAM POLICE DEPT,-70.7342333,41.7702837,Plymouth County
WARREN POLICE DEPT,-72.1944699,42.2130103,Worcester County
WATERTOWN POLICE DEPT,-71.2007005,42.3713694,Middlesex County
WEBSTER POLICE DEPT,-71.8804845,42.0502402,Worcester County
WELLESLEY POLICE DEPT,-71.2882097,42.3005131,Norfolk County
WELLFLEET POLICE DEPT,-70.024632,41.9428676,Barnstable County
WENTWORTH INST OF TECH POLICE HI_ED,-71.0954018,42.3360695,Suffolk County
WEST BROOKFIELD POLICE DEPT,-72.1423074,42.2351078,Worcester County
WEST SPRINGFIELD POLICE DEPT,-72.6234341,42.1059668,Hampden County
WESTFIELD POLICE DEPARTMENT,-72.751886,42.121587,Hampden County
WESTPORT POLICE DEPARTMENT,-71.0895223,41.5789617,Bristol County
WEYMOUTH POLICE DEPT,-70.9506695,42.2009983,Norfolk County
WORCESTER POLICE DEPT,-71.7981107,42.270917,Worcester County
