Item Name,cat
"AIRFRAME COMPONENTS, DEMIL B",0
"AIRPLANE,CARGO-TRANSPORT",3
"AIRPLANE,FLIGHT T42A",3
"AIRWAY KIT,SUPRAGLOTTIC",0
"AIRWAY,NASOPHARYNGEAL",0
"AIRWAY,PHARYNGEAL",0
"ALARM SET,PILOT WARNING",0
"ALARM,AUDIBLE      ",0
"ALARM,AUDIBLE ELECT",0
"ALARM,AUDIBLE-VISUAL",0
"ALARM,BACK-UP,VEHICLE",3
"ALARM,GAS,AUTOMATIC",0
"ALARM,SMOKE,AUTOMATIC",0
ALARM-MONITOR,0
ALIGNMENT MACHINE,0
"ALL IN ONE PRINTER, FAX, SCANNER",0
ALL TERRAIN VEHICLE WHEELED,3
"ALL TERRAIN VEHICLE, 4 WHEEL",3
"ALL TERRAIN VEHICLE, AG/BVUS",3
ALL-MODE CONTAINER DELIVERY SYSTEM,0
"ALTERNATOR,PERMANEN",0
"ALTIMETER,ENCODER  ",0
"ALTIMETER,PRESSURE",0
AMMETER,0
AMMUNITION AND NUCLEAR ORDNANCE BOXES,2
AMMUNITION BOX,2
"AMPLIFIER,AUDIO    ",2
"AMPLIFIER,AUDIO FREQUENCY",2
"AMPLIFIER,ELECTRONIC CONTROL",2
"AMPLIFIER,GUITAR   ",2
"AMPLIFIER,RADIO FREQUENCY",2
"AMPLIFIER,STEREO,HI",2
"AMPLIFIER,SYNCHRO SIGNAL",2
"AMPLIFIER,UHF      ",2
"AMPLIFIER,VIDEO",2
AMPLIFIER-POWER SUPPLY,0
AMPLIFIERS,2
AN PRC 150 RADIO   ,2
"ANALYZER KIT,GAS CHIP MEASUREMENT SYSTEM",0
"ANALYZER SET,ENGINE",0
"ANALYZER, MEDICAL",0
"ANALYZER,ALCOHOL",0
"ANALYZER,BLOOD WITH CASE",0
"ANALYZER,CHEMICAL  ",0
"ANALYZER,CONTROL BO",0
"ANALYZER,DEFIBRILLATOR-ELECTROCARDIOGRAPH",0
"ANALYZER,DEFIBRILLATOR-ELECTROCARDIOGRAPH,TRANSCUTANEOUS",0
"ANALYZER,DIGITAL DATA,ELECTRONIC TEST",0
"ANALYZER,ENGINE",0
"ANALYZER,HAZARDOUS MATERIAL IDENTIFICATION",0
"ANALYZER,LOCAL AREA NETWORK",0
"ANALYZER,NETWORK",0
"ANALYZER,NIGHT VISION VIEWER",2
"ANALYZER,NON-INVASIVE BLOOD PRESSURE",0
"ANALYZER,OXYGEN",0
"ANALYZER,SPECTRUM",0
"ANALYZER-CHARGER,BATTERY",0
"ANCHOR,CHAIN",0
"ANCHOR,GUY",0
ANETENNA MAST VEHI ,0
"ANGLE,STRUCTURAL",0
ANTENNA,0
ANTENNA ASSEMBLY,0
ANTENNA COUPLER GROUP,0
ANTENNA ELEMENT,0
ANTENNA ELEVATOR GROUP,0
ANTENNA KIT        ,0
ANTENNA PEDESTAL SUBASSEMBLY,0
ANTENNA SUBASSEMBLY,0
"ANTENNA,BROADBAND  ",0
"ANTENNA,DIRECTION F",0
"ANTENNA,POLE,UHF-VHF",0
"ANTENNAS, WAVE GUIDES, RELATED EQUIP",0
ANTIFREEZE,0
ANTI-PERSONNEL MINE FOOT PROTECTION,2
"ANTI-REFLECTION DEVICE,OPTICAL INSTRUMENT",2
ANTI-REFLECTIVE DEVICE,2
ANTI-TERRORISM FORCE PROTECTION CHECKPOINT SET,2
ANVIL              ,0
"APERTURE,SIGHT",0
"APPLICATOR,SKIN,ANTISEPTIC",0
"APRON,BLACKSMITHS",0
"APRON,CONSTRUCTION WORKERS",0
"APRON,FOOD HANDLERS",0
"APRON,UTILITY",0
"ARM ASSEMBLY,CYCLIC",0
"ARM ASSEMBLY,CYLINDER SUPPORT",0
"ARM,CABIN DOOR     ",0
"ARM,CONTROL,VEHICULAR SUSPENSION",0
"ARM,DOOR           ",0
"ARM,REARVIEW MIRROR",0
"ARM,WINDSHIELD WIPER",0
ARMAMENT TRAINING DEVICES,0
"ARMBAND,CHAMELEON,EXTRA LENGTH",0
ARMOIRE,0
"ARMOR KIT,GUN SHIELD",2
ARMOR PLATE,2
"ARMOR PLATE, SHEET, STRIP, FOIL, LEAF",2
"ARMOR SET,SUPPLEMENTAL,LVS",2
"ARMOR SET,SUPPLEMENTAL,SMALL ARMS-FRAGMENTATION PROTECTIVE",2
"ARMOR, HELMET",2
"ARMOR, PERSONAL",2
"ARMOR, PLATE",2
"ARMOR,GROIN PLATE  ",2
"ARMOR,SUPPLEMENTAL,SMALL ARMS-FRAGMENTATION PROTECTIVE",2
"ARMOR,TRANSPARENT,VEHICULAR WI",2
"ARMOR,TRANSPARENT,VEHICULAR WINDOW",2
ARMY COMBAT BOOT HOT WEATHER FR,2
"ARRESTER,ELECTRICAL SURGE",0
"ARRESTER,LIGHTNING",0
ASPIRATOR,0
ASS. INTERCH BTW WEPS IN 2 OR MORE CLASS,0
"ASSAULT KIT,MEDICAL",0
ASSAULT LOAD BEARING VEST,2
ASSAULT PACK       ,2
"ASSEMBLY TOOL,FRONT",0
"ASSEMBLY,COVER     ",0
"ASSEMBLY,HELMET SEARCHLIGHT",0
"ASSEMBLY,TOOL CASE ",0
ASSULT PACK        ,2
AT-FP CHECK POINT KIT,0
ATHLETIC AND SPORTING EQUIPMENT,0
"ATTENUATOR,FIXED",0
ATV PARTS,0
AUDIO PROJ SET     ,0
"AUGER KIT,WATER CLOSET-PIPE AND SEWER,ELECTRIC",0
"AUGER,EARTH,PORTABLE",0
"AUGER,EARTH,TRACTOR MOUNTING",0
"AUGER,EARTH,TRUCK MOUNTED",0
"AUTOMATION SYSTEM,VIDEO CAMERA",2
"AUTOMOBILE,SEDAN",3
"AUXILIARY SET,ENGINE DRIVEN",0
AVIATION SHOP EQUIPMENT,0
AVIATORS NIGHT VISI,2
AWNING,0
"AX,CRASH           ",2
"AX,EMERGENCY ESCAPE AND RESCUE",2
"AX,MULTIPURPOSE    ",2
"AX,SINGLE BIT",2
"AXE,ICE            ",2
"AXE,SURVIVAL       ",2
"AXLE ASSEMBLY,AUTOMOTIVE,DRIVING",0
"BACK ASSEMBLY,SEAT ",0
"BACK REST,LITTER",0
"BACKBOARD,FULL LENGTH",0
"BACKHOE,TRACTOR MOUNTING",0
BACKLASH TOOL SET-X,0
BACKPACK           ,2
BACKPACK PUMP OUTFIT,2
"BACKPACK,DIVER'S EQUIPMENT",2
"BACKPACK,LADDER TACTICAL ASSAULT",2
"BACKPACK,MEDICAL",2
"BACKPACK,MEDICAL   ",2
"BACKPACK,MEDICAL STORAGE",2
"BACKPACK,MEDICAL SUPPLY",2
"BACKPACK,MEDICAL TRAUMA",2
"BACKPACK,MEDICAL,JUMPABLE TRAINING",2
"BACKPACK,MEDICAL,TACTICAL FIELD CARE",2
"BACKPACK,MEDICAL,TRAINING-COVERAGE",2
"BACKPACK,TACTICAL  ",2
"BACKPACK,TRAUMA,PARARESCUE JUMP PACK",2
"BAFFLE ASSY,HYD PUM",0
"BAFFLE,OPTICAL     ",0
BAG                ,2
BAG ASSEMBLY,2
"BAG ASSEMBLY,TRAINING",2
BAG DEMOLITION EQUIPMENT,2
BAG DEPLOYMENT     ,2
BAG MEDICAL        ,2
BAG MEDICAL I.V. BANDOLEER,2
"BAG,AMMUNITION",2
"BAG,BARRACKS",2
"BAG,BLOOD RECOVERY,AUTOTRANSFUSION",2
"BAG,BREATHING,DIVERS",2
"BAG,CARRY          ",2
"BAG,CARRYING       ",2
"BAG,CARRYING,OXYGEN TANK",2
"BAG,CHAIN          ",2
"BAG,CHEMICAL PROTECTIVE CLOTHING OUTFIT",2
"BAG,CLOTHING",2
"BAG,COMBAT         ",2
"BAG,COMBAT CASUALTY CARE",2
"BAG,COMBAT LIFESAVER",2
"BAG,COMBAT TRAUMA  ",2
"BAG,DEPLOY,SM,KH   ",2
"BAG,DEPLOYMENT KIT ",2
"BAG,DEPLOYMENT,GN  ",2
"BAG,DEPLOYMENT,SM,G",2
"BAG,DIVER          ",2
"BAG,DRAG           ",2
"BAG,DROP LEG       ",2
"BAG,DUFFEL",2
"BAG,E AND R        ",2
"BAG,ELECTROMAGNETIC PROTECTIVE",2
"BAG,EMPTY CARTRIDGE",2
"BAG,EQUIPMENT      ",2
"BAG,FIRST AID KIT",2
"BAG,FLOTATION      ",2
"BAG,FLYERS HELMET",2
"BAG,GOLF",2
"BAG,HOT WATER-ICE",2
"BAG,INDIVIDUAL EQUIPMENT,CARRIER",2
"BAG,KIT            ",2
"BAG,LAW ENFORCEMENT EQUIPMENT",2
"BAG,LITTER,KH      ",2
"BAG,MAILING",2
"BAG,MEDICAL        ",2
"BAG,MEDICAL AID    ",2
"BAG,MEDICAL INSTRUMENT AND SUPPLY SET",2
"BAG,MEDICAL SUPPLIES",2
"BAG,MEDICAL SUPPLY,MEDIC",2
"BAG,NUCLEAR,BIOLOGICAL AND CHEMICAL PROTECTIVE CLOTHING OUTFIT",2
"BAG,ORDNANCE WEAPONS SPARE PARTS",2
"BAG,PAPER",2
"BAG,PILOT RELIEF   ",2
"BAG,PLASTIC",2
"BAG,RADIO,CARRIER",2
"BAG,RECLOSABLE     ",2
"BAG,RESCUE EQUIPMENT",2
"BAG,ROLLDOWN,OPERATING ROOM",2
"BAG,ROLLPACK,MEDICAL",2
"BAG,SAND",2
"BAG,SHOULDER       ",2
"BAG,STERILIZATION-BIOHAZARD DISPOSAL",2
"BAG,STORAGE,ACCESSO",2
"BAG,STOWAGE GUN MOU",2
"BAG,STOWAGE,TOOLS  ",2
"BAG,TC3,COMBAT CASUALTY CARE",2
"BAG,TEXTILE",2
"BAG,TOOL",2
"BAG,TOOLS AND SPARE PARTS",2
"BAG,TRAINING,BLACK ",2
"BAG,TRAINING,BOXERS",2
"BAG,WASTE KIT      ",2
"BAG,WATER CARRYING",2
"BAG,WATER STERILIZING",2
"BAG,WATERPROOF,ALYCE PACK",2
"BAG,WATERPROOF,CHEMICAL-BIOLOGICAL MASK",2
"BAG,WATERPROOF,WEAPONS(STANDARD)",2
"BAG,WATERPROOF,WEAPONS,SHOOT-THROUGH",2
"BAG,WEAPON EQUIPMENT,CARRIER",2
"BAG,WEAPON,SNIPER  ",2
"BAG,WET WEATHER CLOTHING",2
BAGS AND SACKS,2
BALACLAVA          ,0
BALANCE ARM KIT    ,0
"BALANCE KIT,ROTOR  ",0
"BALANCE WHEEL,ROTOR",0
"BALANCER,VEHICLE WHEEL",3
"BALANCING KIT,PROPELLER",0
"BALL,BEARING",0
"BALL,SOCKET HITCH  ",0
BALLASTS,0
BALLISTIC BLANKET  ,2
BALLISTIC BLANKET KIT,2
"BALLISTIC BLANKET KIT,LAV-25",2
BALLISTIC FOAM     ,2
"BALLISTIC PLATE INSERTS,CERAMIC TILE",2
BALLISTIC SHIELDS,2
"BAND ASSEMBLY,INTER",0
"BAND,COMPRESSOR    ",0
"BAND,EXERCISE,PHYSICAL THERAPY",0
"BAND,PERSONAL IDENTIFICATION",0
BANDAGE KIT        ,0
"BANDAGE KIT,ELASTIC",0
"BANDAGE KIT,ELASTIC,ABDOMINAL WOUND",0
"BANDAGE,ABDOMINAL  ",0
"BANDAGE,ADHESIVE",0
"BANDAGE,CAST,IMPREGNATED",0
"BANDAGE,ELASTIC",0
"BANDAGE,EMERGENCY TRAUMA DRESSING",0
"BANDAGE,FELT,ORTHOPEDIC",0
"BANDAGE,GAUZE",0
"BANDAGE,GAUZE,IMPREGNATED",0
"BANDAGE,GAUZE,SELF-ADHERENT",0
"BANDAGE,HEMORAGE CONTROL",0
"BANDAGE,HEMORRHAGE CONTROL",0
"BANDAGE,INTRAVENOUS",0
"BANDAGE,MUSLIN",0
"BANDAGE,TRAINING SAMPLE",0
"BANDAGE,TRIANGULAR ",0
BANDOLEER AMMUNITION POUCHES,2
"BANDOLIER,ASDK     ",2
"BAR,DIGGING",0
"BAR,EMERGENCY RESCUE",0
"BAR,METAL",0
"BAR,PINCH",0
"BAR,PRY",0
"BAR,RESCUE         ",0
"BAR,SOCKET WRENCH HANDLE",0
"BAR,STABILIZER",0
"BAR,WRECKING",0
"BARBED TAPE,CONCERTINA",0
BARBED WIRE,0
"BARBED WIRE,CONCERTINA",0
BARCODE READER,0
"BAROMETER,ANEROID",0
BARREL AND FRONT SIGHT ASSEMBLY,2
BARREL ASSEMBLY    ,2
"BARREL,AUTOMATIC GUN",2
"BARREL,CARBINE",2
"BARREL,GRENADE LAUNCHER",2
"BARREL,MACHINE GUN",2
"BARREL,PISTOL",2
"BARREL,PROJECTILE DRIVER,EXPLOSIVE ORDNANCE DISPOSAL",2
"BARREL,RIFLE",2
"BARREL,SHOTGUN",2
"BARRICADE,HEDGE HOG",2
"BARRICADE,PORTABLE,",2
BARRIER            ,2
"BARRIER,ACOUSTIC   ",2
"BARRIER,SAFETY     ",2
"BARRIER,VEHICLE ARRESTING,PORTABLE",0
"BARS AND RODS, NONFERROUS BASE METAL",0
BASE               ,0
BASE STATION       ,0
BASE STATION PORTAB,0
BASE STATION REPEATER,0
"BASE STATION,RADIO SET",0
"BASE VEST,OUTERSHELLL",0
"BASE,ANTENNA SUPPORT",0
"BASE,CHASSIS",0
"BASE,MAST",0
"BASE,PINTLE MOUNT  ",0
"BASE,RADIO MOUNT   ",0
"BASE,REAR SIGHT",0
"BASE,SHIPPING AND STORAGE CONTAINER",0
"BASE,STAND",0
"BASE,TELEPHONE",0
"BASE,UNIVERSAL     ",0
"BASIN,WASH",0
"BASKET,RESCUE      ",0
"BASKET,STOWAGE     ",0
"BASKET,ULTRASONIC CLEANER",0
BATA HAZMAX PROTECTIVE FOOTWEAR,0
"BATH UNIT,PORTABLE",0
"BATON,COMBAT TRAINING",1
"BATON,EXTENDABLE   ",1
"BATON,TACTICAL     ",1
"BATON,TACTICAL ASP ",1
"BATTERIES, UNUSED, NONRECHARGEABLE",0
"BATTERIES, UNUSED, VEHICLE (LEAD ACID)",0
BATTERY BACKUP ASSEMBLY,0
BATTERY BAG WITH CA,0
BATTERY BOX,0
"BATTERY CABLE ASSY,",0
"BATTERY CHARGE,SPEC",0
BATTERY CHARGER,0
"BATTERY CHARGER,POWER TOOL",0
"BATTERY COMPARTMENT,NIGHT VISION VIEWER",0
BATTERY POWER SOURCE,0
BATTERY POWER SUPPLY,0
"BATTERY,HOUSING ASS",0
"BATTERY,NONRECHARGEABLE",0
"BATTERY,STORAGE",0
BATTERY.HOLDER,0
BATTLEFIELD ANTI-INTRUSION SYSTEM,2
BAYONET,1
BAYONET AND SCABBARD,1
BAYONET-KNIFE,1
"BDU CLOTHING, SPECIAL PURPOSE",2
BDU GLOVES,2
BDU KNEEPAD,2
BDU PARKA,2
"BEACON SET,RADIO",2
"BEACON,DISTRESS",2
"BEACON,SONAR",2
"BEAD BREAKER,PNEUMATIC TIRE",0
"BEAD BREAKER,TIRE  ",0
"BEAM,DECKING,SHORIN",0
"BEAM,HOISTING",0
"BEAM,STRUCTURAL",0
BEARING,0
BEARING AND LINER A,0
"BEARING UNIT,BALL",0
"BEARING UNIT,PLAIN",0
"BEARING,BALL,ANNULAR",0
"BEARING,BALL,DUPLEX",0
"BEARING,BALL,STACK",0
"BEARING,PLAIN,ROD END",0
"BEARING,PLAIN,SELF-ALIGNING",0
"BEARING,PLAIN,SPHERICAL",0
"BEARING,ROLLER,CYLINDRICAL",0
"BEARING,ROLLER,JOURNAL",0
"BEARING,ROLLER,NEEDLE",0
"BEARING,SLEEVE",0
"BEARING,WASHER,THRUST",0
BED FRAME,0
"BED,ADJUSTABLE",0
"BEDNET,POP-UP      ",0
BEDSHEETS,0
BEDSPREAD,0
BELL CRANK,0
"BELLMOUTH ASSY,SEAL",0
"BELT CATCH,SLUNG WEAPON",0
BELT RIGGERS FR    ,0
"BELT,AIRCRAFT SAFETY",0
"BELT,HIGH VISIBILITY",0
"BELT,INDIVIDUAL EQUIPMENT",0
"BELT,MOLDED WAIST  ",0
"BELT,RIGGERS",0
"BELT,RIGGERS       ",0
"BELT,SAFETY,INDUSTRIAL",0
"BELT,V",0
"BELT,VEHICULAR SAFETY",0
BENCH,0
BENCH PRESS,0
"BENCH,UTILITY",0
"BENCH,WEIGHTLIFTER PRESS SUPPORT",0
"BENCH,WORK W/DRAWERS",0
"BENDER SET,TUBE,HAND",0
"BENDER,TUBE,HAND",0
BENDING AND FORMING MACHINES,0
"BENDING MACHINE,PIPE AND CONDUIT",0
"BICON,FREIGHT,GENERAL,PURPOSE",0
BICONICAL ANTENNA  ,0
BICYCLE,0
"BICYCLE, EXERCISE",0
"BICYCLE, MOUNTAIN",0
"BICYCLE, RECUMBENT",0
BIN,0
"BIN,STORAGE AND DISPLAY,STATIONARY",0
"BINDER,AWARDS CERTIFICATE",0
"BINDER,FIELD       ",0
"BINDER,LOAD",0
"BINDER,LOOSE-LEAF",0
"BINDER,NOTE PAD",0
"BINDING ASSEMBLY,SNOWSHOE",0
"BINDING MACHINE,PLASTIC BINDING ELEMENT",0
BINO NV SYSTEM     ,0
BINOCULAR,2
"BINOCULAR,ELECTRON ",2
"BINOCULAR,ELECTRONI",2
"BINOCULAR,NIGHT VIS",2
"BINOCULAR,NIGHT VISION",2
BINOCULARS,2
BIPOD ADAPTER ASSEMBLY,2
"BIPOD,FOLDING      ",2
"BIPOD,MACHINE GUN",2
"BIPOD,RIFLE",2
"BIT SET,AUGER",0
"BIT SET,SPADE,WOOD BORING",0
"BIT,AUGER",0
"BIT,MASONRY        ",0
"BIT,ROUTER",0
"BIT,SCREWDRIVER",0
BITE VALVE         ,0
"BITE VALVE,HYDRATION SYSTEM",0
"BIVOUAC SYSTEM,MODULAR,MILITARY UNIT",2
BIVY COMPRESSION STUFF SACK,2
BIVY COVER         ,0
"BLADDER ASSEMBLY,LIFE PRESERVER",0
"BLADDER,FLOTATION",0
"BLADDER,HYDRATION S",0
"BLADDER,HYDRATION SYSTEM",0
"BLADE ASSEMBLY,SNOW PLOW",0
"BLADE ASSY,COMPOSITE",0
"BLADE ASSY,TAIL ROT",0
BLADE CLAMP ASSY   ,0
"BLADE KIT,HOLE SAW",0
"BLADE SET,COMPRESSOR,AIRCRAFT GAS TURBINE ENGINE",0
"BLADE,ANGLEDOZER,EARTH MOVING",0
"BLADE,CIRCULAR SAW,METAL CUTTING",0
"BLADE,CIRCULAR SAW,WOODCUTTING",0
"BLADE,CIRCULAR,SAW ",0
"BLADE,CLIPPER KIT,ANIMAL",0
"BLADE,COMPRESSOR,AIRCRAFT GAS TURBINE ENGINE",0
"BLADE,CONCRETE     ",0
"BLADE,FINGER RING SAW",0
"BLADE,HAND HACKSAW",0
"BLADE,JIG SAW,WOODWORKING",0
"BLADE,POWER HACKSAW",0
"BLADE,RECIPROCATING SAW",0
"BLADE,ROTARY RUDDER",0
"BLADE,ROTARY WING",0
"BLADE,SAW,ROUND",0
"BLADE,SAWTOOTH     ",0
"BLADE,SURGICAL KNIFE,DETACHABLE",0
"BLADE,TABLE        ",0
"BLADE,TURBINE ROTOR,AIRCRAFT GAS TURBINE ENGINE",0
"BLADE,TURBINE ROTOR,NONAIRCRAFT GAS TURBINE ENGINE",0
"BLADE,WINDSHIELD WIPER",0
"BLADES,REPLACEMENT ",0
BLANKET,0
"BLANKET ASSY,ACOUST",0
BLANKET BED,0
BLANKET UPHOLSTERY ,0
"BLANKET,BED",0
"BLANKET,BURN",0
"BLANKET,FIRE",0
"BLANKET,HEATING    ",0
"BLANKET,HYPOTHERMIA",0
"BLANKET,HYPOTHERMIA,BATTERY POWERED",0
"BLANKET,SOUND ABSOR",0
"BLANKET,SOUND CONTROLLING,AIRCRAFT",0
"BLANKET,SURGICAL",0
"BLANKET,SURVIVAL",0
"BLANKET,SURVIVAL   ",0
"BLANKET,THERMAL    ",0
"BLANKET,WARMING,HYPOTHERMIA",0
BLAST CLEANING CABINET,0
BLAST CLEANING MACHINE,0
BLASTING MACHINE,0
BLASTING MACHINE AS,0
BLOCK AND TACKLE,0
BLOCK AND TACKLE SET,0
"BLOCK,LOCKING,BARREL",0
"BLOCK,TACKLE",0
"BLOCK,TERMINAL,DISC",0
"BLOCKS, TACKLE, RIGGING, AND SLINGS",0
"BLOUSE,COMBAT      ",2
BLOWER AND VACUUM  ,0
"BLOWER UNIT,ROTARY ",0
"BLOWER, AIR CONDITIONING",0
"BLOWER, LANDSCAPE",0
"BLOWER,AIR BARRIER",0
"BLOWER,ELECTRIC,PORTABLE",0
"BLOWER,LIGHT WEIGHT",0
BLUE SKY MAST ASSY ,0
BOARD,0
BOARD GROUND JACK  ,0
"BOARD,MARKER",0
"BOARD,SPINAL,FOLDING",0
"BOAT,CMT RECON CRAF",3
"BOAT,FIBERGLASS",3
"BOAT,INFLATABLE    ",3
"BOAT,INFLATABLE MAT",3
"BOAT,LANDING,INFLATABLE",3
"BOAT,PERSONNEL",3
"BOAT,PONTOON       ",3
"BOAT,RECONNAISSANCE,PNEUMATIC",3
"BOAT,RIGID INFLATABLE",3
"BOAT,RIGID RAIDING",3
"BOAT,SEMI-VEE      ",3
"BOAT,SPORT,INFLATABLE",3
"BOAT,UTILITY",3
"BOBBIN,SEWING MACHINE",0
"BODY ARMOR OUTFIT,EXPLOSIVE ORDNANCE DISPOSAL",2
"BODY ARMOR,CHEST   ",2
"BODY ARMOR,FRAGMENTATION PROTECTIVE",2
"BODY ARMOR,SMALL ARMS PROTECTIVE",2
"BODY ASSEMBLY,BARREL BUFFER",0
BODY SHIELD        ,2
"BODY,BUTTSTOCK ASSEMBLY",2
"BODY,CAMERA,STILL PICTURE",0
"BODY,CARGO TRUCK",0
"BODY,EXPLOSIVE ORDNANCE DISPOSAL",2
"BODY,INFLATION DEVICE",0
"BODY,UTILITY VEHICLE",0
BOLT ASSEMBLY      ,0
BOLT CONVERSION    ,0
"BOLT,AUTOMATIC WEAPON",0
"BOLT,BREECH",0
"BOLT,CLEVIS",0
"BOLT,CLOSE TOLERANCE",0
"BOLT,EYE",0
"BOLT,FRONT SIGHT,LE",0
"BOLT,HOOK",0
"BOLT,MACHINE",0
"BOLT,SPECIAL       ",0
"BOLT,TURBINE TIE   ",0
"BOLT,U",0
"BOOK,APPOINTMENT",0
"BOOK,MEMORANDUM",0
BOOKCASE,0
"BOOKS AND PAMPHLETS, EA",0
"BOOM,AIRCRAFT",0
"BOOM,LIFT          ",0
"BOOM,ROTARY,RUDDER",0
"BOOM,SPILL CONTAINMENT,HAZARDOUS MATERIAL",0
BOOT               ,0
"BOOT ASSY,BLEED    ",0
"BOOT ASSY,DUCT     ",0
"BOOT WALL,COMMAND POST SYSTEM,MODULAR",0
"BOOT, MEN'S,",0
"BOOT,AIRCRAFT COMPONENTS",0
"BOOT,CONNECTOR,SIDE",0
"BOOT,DOG",0
"BOOT,DUST AND MOISTURE SEAL",0
"BOOT,TENT          ",0
"BOOT,VEHICULAR COMPONENTS",0
"BOOTIES,EXTREME COLD WEATHER",0
"BOOTS, MEN'S, PAIR",0
"BOOTS,ANKLE",0
"BOOTS,CLIMBERS",0
